Country,continent,happiness_score,family,freedom,Life expectancy 
Afghanistan,Asia,3.79399991,0.581543326,0.10617952,65.0
Albania,Europe,4.644000053,0.803685248,0.381498635,77.8
Algeria,Africa,5.872000217,1.146217465,0.233335808,75.6
Argentina,South America,6.598999977,1.440451145,0.494519204,76.3
Armenia,Asia,4.375999928,1.007483721,0.198303267,74.8
Australia,Australia,7.28399992,1.510041952,0.601607382,82.8
Austria,Europe,7.006000042,1.459944963,0.56776619,81.5
Azerbaijan,Asia,5.234000206,1.152400255,0.398155838,72.7
Bahrain,Asia,6.086999893,1.323110461,0.536746919,76.9
Bangladesh,Asia,4.607999802,0.735131741,0.478356659,71.8
Belarus,Europe,5.568999767,1.444945216,0.295400262,72.3
Belgium,Europe,6.890999794,1.462312698,0.539770722,81.1
Benin,Africa,3.657000065,0.435299844,0.425962776,60.0
Bosnia and Herzegovina,Europe,5.18200016,1.069335938,0.204403177,77.4
Botswana,Africa,3.766000032,1.221554995,0.505196333,65.7
Brazil,South America,6.635000229,1.431306005,0.437453747,75.0
Bulgaria,Europe,4.714000225,1.434379458,0.289231718,74.5
Burkina Faso,Africa,4.032000065,1.043280005,0.324367851,59.9
Burundi,Africa,2.904999971,0.629793584,0.059900753,59.6
Cambodia,Asia,4.168000221,1.006238341,0.633375823,68.7
Cameroon,Africa,4.695000172,0.946018219,0.430388749,57.3
Canada,North America,7.315999985,1.481348991,0.611100912,82.2
Chad,Africa,3.936000109,0.953855872,0.162342027,53.1
Chile,South America,6.65199995,1.284024954,0.376895279,85.0
China,Asia,5.272999763,1.160837412,0.472787708,76.1
Colombia,South America,6.356999874,1.402182937,0.477487415,74.8
Costa Rica,South America,7.078999996,1.416403651,0.58013165,79.6
Croatia,Europe,5.293000221,0.967983007,0.255772293,78.0
Cyprus,Asia,5.620999813,1.131363273,0.355111539,85.0
Denmark,Europe,7.521999836,1.551121593,0.626006722,86.0
Dominican Republic,South America,5.230000019,1.402416706,0.552589834,73.9
Ecuador,South America,6.007999897,1.286168814,0.455198199,76.2
Egypt,Africa,4.735000134,0.997471392,0.282110155,79.0
El Salvador,South America,6.002999783,1.182125092,0.43245253,73.5
Estonia,Europe,5.611000061,1.4766711,0.47913143,77.6
Ethiopia,Africa,4.460000038,0.864669204,0.408842742,64.8
Finland,Europe,7.468999863,1.540246725,0.617950857,81.1
France,Europe,6.441999912,1.387776852,0.470222116,82.4
Gabon,Africa,4.465000153,1.155620217,0.312328577,66.0
Georgia,Asia,4.285999775,0.570614934,0.309410036,74.4
Germany,Europe,6.951000214,1.472520351,0.562511384,81.0
Ghana,Africa,4.119999886,0.873664737,0.423026294,62.4
Greece,Europe,5.227000237,1.239414573,0.095731251,81.0
Guatemala,South America,6.453999996,1.255585194,0.531310618,71.9
Guinea,South America,3.506999969,0.791244686,0.348587513,59.0
Haiti,South America,3.602999926,0.640449822,0.030369857,63.5
Honduras,South America,5.181000233,1.143944979,0.34807986,74.6
Hungary,Europe,5.323999882,1.343133092,0.175863519,75.8
Iceland,Europe,7.504000187,1.610574007,0.627162635,82.7
India,Asia,4.315000057,0.754372597,0.469987005,68.3
Indonesia,Asia,5.262000084,1.274444699,0.443323463,69.1
Iraq,Asia,4.497000217,0.978613198,0.288555533,68.9
Ireland,Europe,6.977000237,1.558231115,0.573110342,81.4
Israel,Asia,7.212999821,1.376289964,0.405988604,82.5
Italy,Europe,5.964000225,1.444923282,0.256450713,82.7
Jamaica,South America,5.31099987,1.368218064,0.474307239,76.2
Japan,Asia,5.920000076,1.436337829,0.505625546,83.7
Jordan,Asia,5.335999966,1.239088893,0.418421149,74.1
Kazakhstan,Asia,5.818999767,1.384369016,0.437454283,72.0
Kenya,Africa,4.552999973,1.067950726,0.452763766,63.4
Kuwait,Asia,6.105000019,1.259698749,0.496337593,74.7
Kyrgyzstan,Asia,5.004000187,1.394238591,0.454943389,71.1
Latvia,Europe,5.849999905,1.404714942,0.325707912,74.6
Lebanon,Asia,5.224999905,1.129624248,0.288515985,74.9
Liberia,Africa,3.532999992,0.872117937,0.332881182,61.4
Libya,Africa,5.525000095,1.35756433,0.46573323,72.7
Lithuania,Europe,5.90199995,1.473516107,0.234231785,73.6
Luxembourg,Europe,6.862999916,1.457583666,0.596627891,82.0
Madagascar,Africa,3.644000053,0.913020372,0.189196765,65.5
Malawi,Africa,3.970000029,0.512568831,0.466914654,58.3
Malaysia,Asia,6.084000111,1.284646034,0.402264982,75.0
Mali,Africa,4.190000057,1.281473398,0.306613743,58.2
Malta,Europe,6.52699995,1.488411665,0.588767052,81.7
Mauritania,Africa,4.291999817,1.27203083,0.096098043,63.1
Mauritius,Africa,5.629000187,1.20956099,0.491247326,74.6
Mexico,North America,6.578000069,1.21086216,0.412730008,76.7
Mongolia,Asia,4.954999924,1.493011236,0.394143969,68.8
Montenegro,Europe,5.236999989,1.238376498,0.194989055,76.1
Morocco,Africa,5.235000134,0.774864435,0.408158332,74.3
Myanmar,Asia,4.545000076,1.123235941,0.514492035,66.6
Nepal,Asia,4.961999893,1.179283261,0.440305948,69.2
Netherlands,Europe,7.376999855,1.428939223,0.585384488,81.9
New Zealand,Australia,7.31400013,1.548195124,0.61406213,81.6
Nicaragua,South America,6.071000099,1.28721571,0.447551847,74.8
Niger,Africa,4.027999878,0.993025005,0.363658696,61.8
Nigeria,Africa,5.073999882,1.215770483,0.394952565,54.5
Norway,Europe,7.537000179,1.53352356,0.635422587,81.8
Pakistan,Asia,5.269000053,0.67269069,0.235215262,66.4
Panama,South America,6.452000141,1.373192549,0.550026834,77.8
Paraguay,South America,5.493000031,1.50728488,0.473507792,74.0
Peru,South America,5.715000153,1.218770385,0.450002879,75.5
Philippines,Asia,5.429999828,1.253917575,0.585214674,68.5
Poland,Europe,5.97300005,1.44571197,0.520342112,77.5
Portugal,Europe,5.195000172,1.367043018,0.4984653,81.1
Romania,Europe,5.824999809,1.15009129,0.457003742,75.0
Rwanda,Africa,3.470999956,0.945707023,0.581843853,66.1
Saudi Arabia,Asia,6.343999863,1.286677599,0.449750572,74.5
Senegal,Africa,4.534999847,1.179691911,0.377922267,66.7
Serbia,Europe,5.394999981,1.258189797,0.208715528,75.6
Sierra Leone,Africa,4.709000111,0.984136045,0.318697691,51.0
Singapore,Asia,6.572000027,1.353814363,0.549840569,83.1
Slovakia,Europe,6.09800005,1.505059242,0.295817465,76.7
Slovenia,Europe,5.757999897,1.452518821,0.572575808,88.0
South Africa,Africa,4.828999996,1.384788632,0.479246736,62.9
Spain,Europe,6.402999878,1.532090902,0.40878123,82.8
Sri Lanka,Asia,4.440000057,1.259976387,0.561213255,74.9
Sweden,Europe,7.28399992,1.478162169,0.612924099,82.4
Switzerland,Europe,7.493999958,1.516911745,0.620070577,83.4
Tajikistan,Asia,5.040999889,1.271463275,0.471566707,69.7
Thailand,Asia,6.423999786,1.425792456,0.580200732,74.9
Togo,Africa,3.494999886,0.43188253,0.380426139,59.9
Tunisia,Africa,4.804999828,0.86835146,0.28968069,75.3
Turkey,Asia,5.5,1.337753177,0.3007406,75.8
Turkmenistan,Asia,5.822000027,1.493149161,0.418271929,66.3
Uganda,Africa,4.080999851,1.129827738,0.443185955,62.3
Ukraine,Europe,4.096000195,1.394537568,0.122974776,71.3
United Arab Emirates,Asia,6.647999763,1.266410232,0.60834527,77.1
Uruguay,South America,6.453999996,1.412227869,0.579392254,77.0
Uzbekistan,Asia,5.971000195,1.54896915,0.658248663,69.4
Yemen,Asia,3.592999935,0.935382247,0.249463722,65.7
Zambia,Africa,4.513999939,1.003187299,0.461603492,61.8
Zimbabwe,Africa,3.875,1.083095908,0.336384207,67.0
